id,imperial_weight_min,imperial_weight_max,metric_weight_min,metric_weight_max,imperial_height_min,imperial_height_max,metric_height_min,metric_height_max,name,bred_for,breed_group,life_span_min,life_span_max,temperament,origin,reference_image_id,image,country_code
168,11,20,5,9,12,14,30,36,Miniature Schnauzer,Ratting,Terrier,12,14,"Fearless, Friendly, Spirited, Alert, Obedient, Intelligent",,SJIUQl9NX,"{'id': 'SJIUQl9NX', 'width': 800, 'height': 533, 'url': 'https://cdn2.thedogapi.com/images/SJIUQl9NX.jpg'}",
171,100,150,45,68,26,28,66,71,Newfoundland,"All purpose water dog, fishing aid",Working,8,10,"Sweet-Tempered, Gentle, Trainable",,Sk4DXl54m,"{'id': 'Sk4DXl54m', 'width': 1174, 'height': 986, 'url': 'https://cdn2.thedogapi.com/images/Sk4DXl54m.jpg'}",
172,11,12,5,5,9,10,23,25,Norfolk Terrier,"Ratting, fox bolting",Terrier,12,15,"Self-confidence, Fearless, Spirited, Companionable, Happy, Lovable",,B1ADQg94X,"{'id': 'B1ADQg94X', 'width': 1468, 'height': 1092, 'url': 'https://cdn2.thedogapi.com/images/B1ADQg94X.jpg'}",
176,11,12,5,5,10,10,25,25,Norwich Terrier,"Ratting, fox bolting",Terrier,12,15,"Hardy, Affectionate, Energetic, Sensitive, Intelligent",,BkgKXlqE7,"{'id': 'BkgKXlqE7', 'width': 1140, 'height': 640, 'url': 'https://cdn2.thedogapi.com/images/BkgKXlqE7.jpg'}",
177,35,50,16,23,17,21,43,53,Nova Scotia Duck Tolling Retriever,,Sporting,12,14,"Outgoing, Alert, Patient, Intelligent, Loving",,SyYtQe5V7,"{'id': 'SyYtQe5V7', 'width': 630, 'height': 420, 'url': 'https://cdn2.thedogapi.com/images/SyYtQe5V7.jpg'}",
178,60,100,27,45,21,21,53,53,Old English Sheepdog,"Driving sheep, cattle",Herding,10,12,"Sociable, Bubbly, Playful, Adaptable, Intelligent, Loving",,HkZ57lq4m,"{'id': 'HkZ57lq4m', 'width': 1334, 'height': 889, 'url': 'https://cdn2.thedogapi.com/images/HkZ57lq4m.jpg'}",
179,65,85,29,39,15,19,38,48,Olde English Bulldogge,,,9,14,"Friendly, Alert, Confident, Loving, Courageous, Strong",,B1d5me547,"{'id': 'B1d5me547', 'width': 554, 'height': 546, 'url': 'https://cdn2.thedogapi.com/images/B1d5me547.jpg'}",
181,3,12,1,5,8,11,20,28,Papillon,Lapdog,Toy,13,17,"Hardy, Friendly, Energetic, Alert, Intelligent, Happy",,SkJj7e547,"{'id': 'SkJj7e547', 'width': 960, 'height': 765, 'url': 'https://cdn2.thedogapi.com/images/SkJj7e547.jpg'}",
183,14,14,6,6,6,9,15,23,Pekingese,Lapdog,Toy,14,18,"Opinionated, Good-natured, Stubborn, Affectionate, Aggressive, Intelligent",,ByIiml9Nm,"{'id': 'ByIiml9Nm', 'width': 960, 'height': 640, 'url': 'https://cdn2.thedogapi.com/images/ByIiml9Nm.jpg'}",
184,25,30,11,14,10,12,25,30,Pembroke Welsh Corgi,Driving stock to market in northern Wales,Herding,12,14,"Tenacious, Outgoing, Friendly, Bold, Playful, Protective",,rJ6iQeqEm,"{'id': 'rJ6iQeqEm', 'width': 1280, 'height': 720, 'url': 'https://cdn2.thedogapi.com/images/rJ6iQeqEm.jpg'}",
185,88,110,40,50,22,25.5,56,65,Perro de Presa Canario,,Working,10,12,"Strong Willed, Suspicious, Gentle, Dominant, Calm",,S1V3Qeq4X,"{'id': 'S1V3Qeq4X', 'width': 600, 'height': 483, 'url': 'https://cdn2.thedogapi.com/images/S1V3Qeq4X.jpg'}",
188,40,60,18,27,21,25,53,64,Pharaoh Hound,Hunting rabbits,Hound,12,14,"Affectionate, Sociable, Playful, Intelligent, Active, Trainable",,Byz6mgqEQ,"{'id': 'Byz6mgqEQ', 'width': 3918, 'height': 2938, 'url': 'https://cdn2.thedogapi.com/images/Byz6mgqEQ.jpg'}",
189,40,60,18,27,20,25,51,64,Plott,Hunting big-game like Boar.,Hound,12,14,"Bold, Alert, Loyal, Intelligent",,B1i67l5VQ,"{'id': 'B1i67l5VQ', 'width': 640, 'height': 480, 'url': 'https://cdn2.thedogapi.com/images/B1i67l5VQ.jpg'}",
193,3,7,1,3,8,12,20,30,Pomeranian,Companion,Toy,15,15,"Extroverted, Friendly, Sociable, Playful, Intelligent, Active",,HJd0XecNX,"{'id': 'HJd0XecNX', 'width': 800, 'height': 532, 'url': 'https://cdn2.thedogapi.com/images/HJd0XecNX.jpg'}",
196,15,17,7,8,11,15,28,38,Poodle (Miniature),,,12,15,,,Hkxk4ecVX,"{'id': 'Hkxk4ecVX', 'width': 1280, 'height': 853, 'url': 'https://cdn2.thedogapi.com/images/Hkxk4ecVX.jpg'}",
197,6,9,3,4,9,11,23,28,Poodle (Toy),,,18,18,,,rJFJVxc4m,"{'id': 'rJFJVxc4m', 'width': 620, 'height': 403, 'url': 'https://cdn2.thedogapi.com/images/rJFJVxc4m.jpg'}",
201,14,18,6,8,10,12,25,30,Pug,Lapdog,Toy,12,14,"Docile, Clever, Charming, Stubborn, Sociable, Playful, Quiet, Attentive",,HyJvcl9N7,"{'id': 'HyJvcl9N7', 'width': 800, 'height': 600, 'url': 'https://cdn2.thedogapi.com/images/HyJvcl9N7.jpg'}",
204,25,35,11,16,16,17,41,43,Puli,Herding,Herding,12,16,"Energetic, Agile, Loyal, Obedient, Intelligent, Faithful",,ryPgVl5N7,"{'id': 'ryPgVl5N7', 'width': 1199, 'height': 829, 'url': 'https://cdn2.thedogapi.com/images/ryPgVl5N7.jpg'}",
205,18,33,8,15,15,18.5,38,47,Pumi,,Herding,13,15,"Lively, Reserved, Intelligent, Active, Protective, Vocal",,SyRe4xcN7,"{'id': 'SyRe4xcN7', 'width': 695, 'height': 391, 'url': 'https://cdn2.thedogapi.com/images/SyRe4xcN7.jpg'}",
207,8,25,4,11,10,13,25,33,Rat Terrier,,Terrier,12,18,"Affectionate, Lively, Inquisitive, Alert, Intelligent, Loving",,HkXWNl9E7,"{'id': 'HkXWNl9E7', 'width': 825, 'height': 689, 'url': 'https://cdn2.thedogapi.com/images/HkXWNl9E7.jpg'}",
208,45,80,20,36,21,27,53,69,Redbone Coonhound,"Hunting raccoon, deer, bear, and cougar.",Hound,10,12,"Affectionate, Energetic, Independent, Companionable, Familial, Unflappable",,HJMzEl5N7,"{'id': 'HJMzEl5N7', 'width': 1537, 'height': 1323, 'url': 'https://cdn2.thedogapi.com/images/HJMzEl5N7.jpg'}",
209,75,80,34,36,24,27,61,69,Rhodesian Ridgeback,"Big game hunting, guarding",Hound,10,12,"Strong Willed, Mischievous, Loyal, Dignified, Sensitive, Intelligent",,By9zNgqE7,"{'id': 'By9zNgqE7', 'width': 1000, 'height': 667, 'url': 'https://cdn2.thedogapi.com/images/By9zNgqE7.jpg'}",
210,75,110,34,50,22,27,56,69,Rottweiler,"Cattle drover, guardian, draft",Working,8,10,"Steady, Good-natured, Fearless, Devoted, Alert, Obedient, Confident, Self-assured, Calm, Courageous",,r1xXEgcNX,"{'id': 'r1xXEgcNX', 'width': 736, 'height': 595, 'url': 'https://cdn2.thedogapi.com/images/r1xXEgcNX.jpg'}",
211,3,6,1,3,7.5,10.5,19,27,Russian Toy,,Toy,10,12,,,HkP7Vxc4Q,"{'id': 'HkP7Vxc4Q', 'width': 645, 'height': 380, 'url': 'https://cdn2.thedogapi.com/images/HkP7Vxc4Q.jpg'}",
212,130,180,59,82,25.5,27.5,65,70,Saint Bernard,"Draft, search, rescue",Working,7,10,"Friendly, Lively, Gentle, Watchful, Calm",,_Qf9nfRzL,"{'id': '_Qf9nfRzL', 'width': 1080, 'height': 1084, 'url': 'https://cdn2.thedogapi.com/images/_Qf9nfRzL.png'}",
213,35,65,16,29,23,28,58,71,Saluki,Coursing gazelle and hare,Hound,12,14,"Aloof, Reserved, Intelligent, Quiet",,fjFIuehNo,"{'id': 'fjFIuehNo', 'width': 750, 'height': 450, 'url': 'https://cdn2.thedogapi.com/images/fjFIuehNo.jpg'}",
214,50,60,23,27,19,23.5,48,60,Samoyed,"Herding reindeer, guardian, draft",Working,12,14,"Stubborn, Friendly, Sociable, Lively, Alert, Playful",,S1T8Ee9Nm,"{'id': 'S1T8Ee9Nm', 'width': 1200, 'height': 797, 'url': 'https://cdn2.thedogapi.com/images/S1T8Ee9Nm.jpg'}",
216,10,16,5,7,10,13,25,33,Schipperke,Barge watchdog,Non-Sporting,13,15,"Fearless, Agile, Curious, Independent, Confident, Faithful",,SyBvVgc47,"{'id': 'SyBvVgc47', 'width': 1024, 'height': 681, 'url': 'https://cdn2.thedogapi.com/images/SyBvVgc47.jpg'}",
218,70,130,32,59,28,32,71,81,Scottish Deerhound,Coursing deer,Hound,8,10,"Docile, Friendly, Dignified, Gentle",,SkNjqx9NQ,"{'id': 'SkNjqx9NQ', 'width': 700, 'height': 480, 'url': 'https://cdn2.thedogapi.com/images/SkNjqx9NQ.jpg'}",
219,18,22,8,10,10,10,25,25,Scottish Terrier,Vermin hunting,Terrier,11,13,"Feisty, Alert, Independent, Playful, Quick, Self-assured",,Bklnce5NX,"{'id': 'Bklnce5NX', 'width': 1280, 'height': 976, 'url': 'https://cdn2.thedogapi.com/images/Bklnce5NX.jpg'}",
221,30,30,14,14,13,16,33,41,Shetland Sheepdog,Sheep herding,Herding,12,14,"Affectionate, Lively, Responsive, Alert, Loyal, Reserved, Playful, Gentle, Intelligent, Active, Trainable, Strong",,rJa29l9E7,"{'id': 'rJa29l9E7', 'width': 824, 'height': 640, 'url': 'https://cdn2.thedogapi.com/images/rJa29l9E7.jpg'}",
222,17,23,8,10,13.5,16.5,34,42,Shiba Inu,"Hunting in the mountains of Japan, Alert Watchdog",Non-Sporting,12,16,"Charming, Fearless, Keen, Alert, Confident, Faithful",,Zn3IjPX3f,"{'id': 'Zn3IjPX3f', 'width': 1080, 'height': 1080, 'url': 'https://cdn2.thedogapi.com/images/Zn3IjPX3f.jpg'}",
223,9,16,4,7,8,11,20,28,Shih Tzu,Lapdog,Toy,10,18,"Clever, Spunky, Outgoing, Friendly, Affectionate, Lively, Alert, Loyal, Independent, Playful, Gentle, Intelligent, Happy, Active, Courageous",,BkrJjgcV7,"{'id': 'BkrJjgcV7', 'width': 800, 'height': 600, 'url': 'https://cdn2.thedogapi.com/images/BkrJjgcV7.jpg'}",
225,120,140,54,64,26,30,66,76,Shiloh Shepherd,"Swimming, Carrying backpacks, Pulling carts or sleds",,9,14,"Outgoing, Loyal, Companionable, Gentle, Loving, Trainable",,SJJxjecEX,"{'id': 'SJJxjecEX', 'width': 1005, 'height': 803, 'url': 'https://cdn2.thedogapi.com/images/SJJxjecEX.jpg'}",
226,35,60,16,27,20,23.5,51,60,Siberian Husky,Sled pulling,Working,12,12,"Outgoing, Friendly, Alert, Gentle, Intelligent",,S17ZilqNm,"{'id': 'S17ZilqNm', 'width': 1920, 'height': 1280, 'url': 'https://cdn2.thedogapi.com/images/S17ZilqNm.jpg'}",
228,8,10,4,5,9,10,23,25,Silky Terrier,"Small vermin hunting, companionship",Toy,12,15,"Friendly, Responsive, Inquisitive, Alert, Quick, Joyful",,ByzGsl5Nm,"{'id': 'ByzGsl5Nm', 'width': 1599, 'height': 1142, 'url': 'https://cdn2.thedogapi.com/images/ByzGsl5Nm.jpg'}",
232,13,18,6,8,15.5,15.5,39,39,Smooth Fox Terrier,Fox bolting,Terrier,12,14,"Fearless, Affectionate, Alert, Playful, Intelligent, Active",,Syszjx9Em,"{'id': 'Syszjx9Em', 'width': 1600, 'height': 1031, 'url': 'https://cdn2.thedogapi.com/images/Syszjx9Em.jpg'}",
233,30,40,14,18,16,18,41,46,Soft Coated Wheaten Terrier,"Vermin hunting, guarding, all-around farm helper",Terrier,12,15,"Affectionate, Spirited, Energetic, Playful, Intelligent, Faithful",,HJHmix5NQ,"{'id': 'HJHmix5NQ', 'width': 1200, 'height': 800, 'url': 'https://cdn2.thedogapi.com/images/HJHmix5NQ.jpg'}",
235,30,50,14,23,16,20,41,51,Spanish Water Dog,Herding flocks of sheep and goats from one pasture to another,Sporting,12,15,"Trainable, Diligent, Affectionate, Loyal, Athletic, Intelligent",,HJf4jl9VX,"{'id': 'HJf4jl9VX', 'width': 1200, 'height': 922, 'url': 'https://cdn2.thedogapi.com/images/HJf4jl9VX.jpg'}",
236,61,85,28,39,22.5,27.5,57,70,Spinone Italiano,,Sporting,10,12,"Docile, Friendly, Affectionate, Loyal, Patient, Gentle",,rk5Eoe5Nm,"{'id': 'rk5Eoe5Nm', 'width': 1030, 'height': 772, 'url': 'https://cdn2.thedogapi.com/images/rk5Eoe5Nm.jpg'}",
238,24,38,11,17,14,16,36,41,Staffordshire Bull Terrier,,Terrier,12,14,"Reliable, Fearless, Bold, Affectionate, Loyal, Intelligent, Courageous",,H1zSie9V7,"{'id': 'H1zSie9V7', 'width': 1280, 'height': 852, 'url': 'https://cdn2.thedogapi.com/images/H1zSie9V7.jpg'}",
239,30,50,14,23,17.5,19.5,44,50,Standard Schnauzer,"Ratting, guarding",Working,13,15,"Trainable, Good-natured, Devoted, Lively, Playful, Intelligent",,tmzeu6ID_,"{'id': 'tmzeu6ID_', 'width': 650, 'height': 585, 'url': 'https://cdn2.thedogapi.com/images/tmzeu6ID_.jpg'}",
242,20,30,9,14,11.5,13.5,29,34,Swedish Vallhund,,Herding,12,14,"Fearless, Friendly, Energetic, Alert, Intelligent, Watchful",,HJ-Dix94Q,"{'id': 'HJ-Dix94Q', 'width': 1280, 'height': 851, 'url': 'https://cdn2.thedogapi.com/images/HJ-Dix94Q.jpg'}",
243,35,55,16,25,20,24,51,61,Thai Ridgeback,,Hound,10,12,"Protective, Loyal, Independent, Intelligent, Loving, Familial",,zv89hR-O8,"{'id': 'zv89hR-O8', 'width': 1080, 'height': 720, 'url': 'https://cdn2.thedogapi.com/images/zv89hR-O8.jpg'}",
244,85,140,39,64,24,26,61,66,Tibetan Mastiff,,Working,10,14,"Strong Willed, Tenacious, Aloof, Stubborn, Intelligent, Protective",,SkM9sec47,"{'id': 'SkM9sec47', 'width': 1600, 'height': 1375, 'url': 'https://cdn2.thedogapi.com/images/SkM9sec47.jpg'}",
245,9,15,4,7,10,10,25,25,Tibetan Spaniel,,Non-Sporting,12,15,"Willful, Aloof, Assertive, Independent, Playful, Intelligent, Happy",,Hyjcol947,"{'id': 'Hyjcol947', 'width': 1023, 'height': 825, 'url': 'https://cdn2.thedogapi.com/images/Hyjcol947.jpg'}",
246,20,24,9,11,14,17,36,43,Tibetan Terrier,"Good luck charms, mascots, watchdogs, herding dogs, and companions",Non-Sporting,12,15,"Affectionate, Energetic, Amiable, Reserved, Gentle, Sensitive",,6f5n_42mB,"{'id': '6f5n_42mB', 'width': 981, 'height': 1226, 'url': 'https://cdn2.thedogapi.com/images/6f5n_42mB.jpg'}",
248,4,9,2,4,8,11,20,28,Toy Fox Terrier,,Toy,12,15,"Friendly, Spirited, Alert, Loyal, Playful, Intelligent",,B17ase9V7,"{'id': 'B17ase9V7', 'width': 1200, 'height': 1024, 'url': 'https://cdn2.thedogapi.com/images/B17ase9V7.jpg'}",
250,45,80,20,36,20,27,51,69,Treeing Walker Coonhound,,Hound,10,13,"Clever, Affectionate, Confident, Intelligent, Loving, Trainable",,SkRpsgc47,"{'id': 'SkRpsgc47', 'width': 1920, 'height': 1080, 'url': 'https://cdn2.thedogapi.com/images/SkRpsgc47.jpg'}",
251,50,65,23,29,21,24,53,61,Vizsla,Pointing and trailing,Sporting,10,14,"Affectionate, Energetic, Loyal, Gentle, Quiet",,r1o0jx9Em,"{'id': 'r1o0jx9Em', 'width': 2269, 'height': 1276, 'url': 'https://cdn2.thedogapi.com/images/r1o0jx9Em.jpg'}",
253,55,90,25,41,23,27,58,69,Weimaraner,Large game trailing and versatile gundog,Sporting,12,15,"Steady, Aloof, Stubborn, Energetic, Alert, Intelligent, Powerful, Fast",,SyU12l9V7,"{'id': 'SyU12l9V7', 'width': 901, 'height': 954, 'url': 'https://cdn2.thedogapi.com/images/SyU12l9V7.jpg'}",
254,35,55,16,25,17,19,43,48,Welsh Springer Spaniel,Flushing and retrieving birds,Sporting,12,15,"Stubborn, Friendly, Affectionate, Loyal, Playful, Active",,BJ1gnx5Vm,"{'id': 'BJ1gnx5Vm', 'width': 1331, 'height': 944, 'url': 'https://cdn2.thedogapi.com/images/BJ1gnx5Vm.jpg'}",
256,15,22,7,10,10,11,25,28,West Highland White Terrier,"Fox, badger, vermin hunting",Terrier,15,20,"Hardy, Friendly, Alert, Independent, Gay, Active, Courageous",,Bkdx2g5Em,"{'id': 'Bkdx2g5Em', 'width': 1065, 'height': 1032, 'url': 'https://cdn2.thedogapi.com/images/Bkdx2g5Em.jpg'}",
257,25,35,11,16,18,22,46,56,Whippet,"Coursing, racing",Hound,12,15,"Friendly, Affectionate, Lively, Gentle, Intelligent, Quiet",,Hyv-ne94m,"{'id': 'Hyv-ne94m', 'width': 1600, 'height': 1071, 'url': 'https://cdn2.thedogapi.com/images/Hyv-ne94m.jpg'}",
258,60,85,27,39,22,25,56,64,White Shepherd,,,12,14,"Self-confidence, Aloof, Fearless, Alert, Companionable, Eager",,r14M3e9E7,"{'id': 'r14M3e9E7', 'width': 1200, 'height': 800, 'url': 'https://cdn2.thedogapi.com/images/r14M3e9E7.jpg'}",
259,15,19,7,9,13,16,33,41,Wire Fox Terrier,"Vermin hunting, fox bolting",,13,14,"Fearless, Friendly, Bold, Keen, Alert, Quick",,SJ6f2g9EQ,"{'id': 'SJ6f2g9EQ', 'width': 1000, 'height': 795, 'url': 'https://cdn2.thedogapi.com/images/SJ6f2g9EQ.jpg'}",
260,45,70,20,32,20,24,51,61,Wirehaired Pointing Griffon,"Gundog, ""swamp-tromping"", Flushing, pointing, and retrieving water fowl & game birds",Sporting,12,14,"Loyal, Gentle, Vigilant, Trainable, Proud",,Bkam2l9Vm,"{'id': 'Bkam2l9Vm', 'width': 2328, 'height': 1604, 'url': 'https://cdn2.thedogapi.com/images/Bkam2l9Vm.jpg'}",
261,45,65,20,29,21.5,25,55,64,Wirehaired Vizsla,,Sporting,12,14,,,r1I4hl5Em,"{'id': 'r1I4hl5Em', 'width': 1024, 'height': 770, 'url': 'https://cdn2.thedogapi.com/images/r1I4hl5Em.jpg'}",
262,9,31,4,14,10,23,25,58,Xoloitzcuintli,,Non-Sporting,12,14,"Cheerful, Alert, Companionable, Intelligent, Protective, Calm",,HkNS3gqEm,"{'id': 'HkNS3gqEm', 'width': 1500, 'height': 1350, 'url': 'https://cdn2.thedogapi.com/images/HkNS3gqEm.jpg'}",
264,4,7,2,3,8,9,20,23,Yorkshire Terrier,Small vermin hunting,Toy,12,16,"Bold, Independent, Confident, Intelligent, Courageous",,B12BnxcVQ,"{'id': 'B12BnxcVQ', 'width': 1024, 'height': 683, 'url': 'https://cdn2.thedogapi.com/images/B12BnxcVQ.jpg'}",