,id,name,bred_for,breed_group,life_span,temperament,origin,reference_image_id,weight.imperial,weight.metric,height.imperial,height.metric,image.id,image.width,image.height,image.url,country_code,description,history,lifespan_min,lifespan_max,imperial_weight_min,imperial_weight_max,imperial_height_min,imperial_height_max,metric_weight_min,metric_weight_max,metric_height_min,metric_height_max
111,167,Miniature Pinscher,Small vermin hunting,Toy,15 years,"Clever, Outgoing, Friendly, Energetic, Responsive, Playful",,Hy3H7g94X,8 - 11,4 - 5,10 - 12.5,25 - 32,Hy3H7g94X,1500,1125,https://cdn2.thedogapi.com/images/Hy3H7g94X.jpg,,,,15,,8,11,10,12.5,4,5,25,32
112,168,Miniature Schnauzer,Ratting,Terrier,12 - 14 years,"Fearless, Friendly, Spirited, Alert, Obedient, Intelligent",,SJIUQl9NX,11 - 20,5 - 9,12 - 14,30 - 36,SJIUQl9NX,800,533,https://cdn2.thedogapi.com/images/SJIUQl9NX.jpg,,,,12,14,11,20,12,14,5,9,30,36
113,171,Newfoundland,"All purpose water dog, fishing aid",Working,8 - 10 years,"Sweet-Tempered, Gentle, Trainable",,Sk4DXl54m,100 - 150,45 - 68,26 - 28,66 - 71,Sk4DXl54m,1174,986,https://cdn2.thedogapi.com/images/Sk4DXl54m.jpg,,,,8,10,100,150,26,28,45,68,66,71
114,172,Norfolk Terrier,"Ratting, fox bolting",Terrier,12 - 15 years,"Self-confidence, Fearless, Spirited, Companionable, Happy, Lovable",,B1ADQg94X,11 - 12,5 - 5,9 - 10,23 - 25,B1ADQg94X,1468,1092,https://cdn2.thedogapi.com/images/B1ADQg94X.jpg,,,,12,15,11,12,9,10,5,5,23,25
115,176,Norwich Terrier,"Ratting, fox bolting",Terrier,12 - 15 years,"Hardy, Affectionate, Energetic, Sensitive, Intelligent",,BkgKXlqE7,11 - 12,5 - 5,10,25,BkgKXlqE7,1140,640,https://cdn2.thedogapi.com/images/BkgKXlqE7.jpg,,,,12,15,11,12,10,,5,5,25,
116,177,Nova Scotia Duck Tolling Retriever,,Sporting,12 - 14 years,"Outgoing, Alert, Patient, Intelligent, Loving",,SyYtQe5V7,35 - 50,16 - 23,17 - 21,43 - 53,SyYtQe5V7,630,420,https://cdn2.thedogapi.com/images/SyYtQe5V7.jpg,,,,12,14,35,50,17,21,16,23,43,53
117,178,Old English Sheepdog,"Driving sheep, cattle",Herding,10 - 12 years,"Sociable, Bubbly, Playful, Adaptable, Intelligent, Loving",,HkZ57lq4m,60 - 100,27 - 45,21,53,HkZ57lq4m,1334,889,https://cdn2.thedogapi.com/images/HkZ57lq4m.jpg,,,,10,12,60,100,21,,27,45,53,
118,179,Olde English Bulldogge,,,9 - 14 years,"Friendly, Alert, Confident, Loving, Courageous, Strong",,B1d5me547,65 - 85,,15 - 19,38 - 48,B1d5me547,554,546,https://cdn2.thedogapi.com/images/B1d5me547.jpg,,,,9,14,65,85,15,19,,,38,48
119,181,Papillon,Lapdog,Toy,13 - 17 years,"Hardy, Friendly, Energetic, Alert, Intelligent, Happy",,SkJj7e547,3 - 12,1 - 5,8 - 11,20 - 28,SkJj7e547,960,765,https://cdn2.thedogapi.com/images/SkJj7e547.jpg,,,,13,17,3,12,8,11,1,5,20,28
120,183,Pekingese,Lapdog,Toy,14 - 18 years,"Opinionated, Good-natured, Stubborn, Affectionate, Aggressive, Intelligent",,ByIiml9Nm,14,6,6 - 9,15 - 23,ByIiml9Nm,960,640,https://cdn2.thedogapi.com/images/ByIiml9Nm.jpg,,,,14,18,14,,6,9,6,,15,23
121,184,Pembroke Welsh Corgi,Driving stock to market in northern Wales,Herding,12 - 14 years,"Tenacious, Outgoing, Friendly, Bold, Playful, Protective",,rJ6iQeqEm,25 - 30,11 - 14,10 - 12,25 - 30,rJ6iQeqEm,1280,720,https://cdn2.thedogapi.com/images/rJ6iQeqEm.jpg,,,,12,14,25,30,10,12,11,14,25,30
122,185,Perro de Presa Canario,,Working,10 - 12 years,"Strong Willed, Suspicious, Gentle, Dominant, Calm",,S1V3Qeq4X,88 - 110,40 - 50,22 - 25.5,56 - 65,S1V3Qeq4X,600,483,https://cdn2.thedogapi.com/images/S1V3Qeq4X.jpg,,,,10,12,88,110,22,25.5,40,50,56,65
123,188,Pharaoh Hound,Hunting rabbits,Hound,12 - 14 years,"Affectionate, Sociable, Playful, Intelligent, Active, Trainable",,Byz6mgqEQ,40 - 60,18 - 27,21 - 25,53 - 64,Byz6mgqEQ,3918,2938,https://cdn2.thedogapi.com/images/Byz6mgqEQ.jpg,,,,12,14,40,60,21,25,18,27,53,64
124,189,Plott,Hunting big-game like Boar.,Hound,12 - 14 years,"Bold, Alert, Loyal, Intelligent",,B1i67l5VQ,40 - 60,18 - 27,20 - 25,51 - 64,B1i67l5VQ,640,480,https://cdn2.thedogapi.com/images/B1i67l5VQ.jpg,,,,12,14,40,60,20,25,18,27,51,64
125,193,Pomeranian,Companion,Toy,15 years,"Extroverted, Friendly, Sociable, Playful, Intelligent, Active",,HJd0XecNX,3 - 7,1 - 3,8 - 12,20 - 30,HJd0XecNX,800,532,https://cdn2.thedogapi.com/images/HJd0XecNX.jpg,,,,15,,3,7,8,12,1,3,20,30
126,196,Poodle (Miniature),,,12 - 15 years,,,Hkxk4ecVX,15 - 17,7 - 8,11 - 15,28 - 38,Hkxk4ecVX,1280,853,https://cdn2.thedogapi.com/images/Hkxk4ecVX.jpg,,,,12,15,15,17,11,15,7,8,28,38
127,197,Poodle (Toy),,,18 years,,,rJFJVxc4m,6 - 9,3 - 4,9 - 11,23 - 28,rJFJVxc4m,620,403,https://cdn2.thedogapi.com/images/rJFJVxc4m.jpg,,,,18,,6,9,9,11,3,4,23,28
128,201,Pug,Lapdog,Toy,12 - 14 years,"Docile, Clever, Charming, Stubborn, Sociable, Playful, Quiet, Attentive",,HyJvcl9N7,14 - 18,6 - 8,10 - 12,25 - 30,HyJvcl9N7,800,600,https://cdn2.thedogapi.com/images/HyJvcl9N7.jpg,,,,12,14,14,18,10,12,6,8,25,30
129,204,Puli,Herding,Herding,12 - 16 Years years,"Energetic, Agile, Loyal, Obedient, Intelligent, Faithful",,ryPgVl5N7,25 - 35,11 - 16,16 - 17,41 - 43,ryPgVl5N7,1199,829,https://cdn2.thedogapi.com/images/ryPgVl5N7.jpg,,,,12,16,25,35,16,17,11,16,41,43
130,205,Pumi,,Herding,13 - 15 years,"Lively, Reserved, Intelligent, Active, Protective, Vocal",,SyRe4xcN7,18 - 33,8 - 15,15 - 18.5,38 - 47,SyRe4xcN7,695,391,https://cdn2.thedogapi.com/images/SyRe4xcN7.jpg,,,,13,15,18,33,15,18.5,8,15,38,47
131,207,Rat Terrier,,Terrier,12 - 18 years,"Affectionate, Lively, Inquisitive, Alert, Intelligent, Loving",,HkXWNl9E7,8 - 25,4 - 11,10 - 13,25 - 33,HkXWNl9E7,825,689,https://cdn2.thedogapi.com/images/HkXWNl9E7.jpg,,,,12,18,8,25,10,13,4,11,25,33
132,208,Redbone Coonhound,"Hunting raccoon, deer, bear, and cougar.",Hound,10 - 12 years,"Affectionate, Energetic, Independent, Companionable, Familial, Unflappable",,HJMzEl5N7,45 - 80,20 - 36,21 - 27,53 - 69,HJMzEl5N7,1537,1323,https://cdn2.thedogapi.com/images/HJMzEl5N7.jpg,,,,10,12,45,80,21,27,20,36,53,69
133,209,Rhodesian Ridgeback,"Big game hunting, guarding",Hound,10 - 12 years,"Strong Willed, Mischievous, Loyal, Dignified, Sensitive, Intelligent",,By9zNgqE7,75 - 80,34 - 36,24 - 27,61 - 69,By9zNgqE7,1000,667,https://cdn2.thedogapi.com/images/By9zNgqE7.jpg,,,,10,12,75,80,24,27,34,36,61,69
134,210,Rottweiler,"Cattle drover, guardian, draft",Working,8 - 10 years,"Steady, Good-natured, Fearless, Devoted, Alert, Obedient, Confident, Self-assured, Calm, Courageous",,r1xXEgcNX,75 - 110,34 - 50,22 - 27,56 - 69,r1xXEgcNX,736,595,https://cdn2.thedogapi.com/images/r1xXEgcNX.jpg,,,,8,10,75,110,22,27,34,50,56,69
135,211,Russian Toy,,Toy,10 - 12 years,,,HkP7Vxc4Q,3 - 6,1 - 3,7.5 - 10.5,19 - 27,HkP7Vxc4Q,645,380,https://cdn2.thedogapi.com/images/HkP7Vxc4Q.jpg,,,,10,12,3,6,7.5,10.5,1,3,19,27
136,212,Saint Bernard,"Draft, search, rescue",Working,7 - 10 years,"Friendly, Lively, Gentle, Watchful, Calm",,_Qf9nfRzL,130 - 180,59 - 82,25.5 - 27.5,65 - 70,_Qf9nfRzL,1080,1084,https://cdn2.thedogapi.com/images/_Qf9nfRzL.png,,,,7,10,130,180,25.5,27.5,59,82,65,70
137,213,Saluki,Coursing gazelle and hare,Hound,12 - 14 years,"Aloof, Reserved, Intelligent, Quiet",,fjFIuehNo,35 - 65,16 - 29,23 - 28,58 - 71,fjFIuehNo,750,450,https://cdn2.thedogapi.com/images/fjFIuehNo.jpg,,,,12,14,35,65,23,28,16,29,58,71
138,214,Samoyed,"Herding reindeer, guardian, draft",Working,12 - 14 years,"Stubborn, Friendly, Sociable, Lively, Alert, Playful",,S1T8Ee9Nm,50 - 60,23 - 27,19 - 23.5,48 - 60,S1T8Ee9Nm,1200,797,https://cdn2.thedogapi.com/images/S1T8Ee9Nm.jpg,,,,12,14,50,60,19,23.5,23,27,48,60
139,216,Schipperke,Barge watchdog,Non-Sporting,13 - 15 years,"Fearless, Agile, Curious, Independent, Confident, Faithful",,SyBvVgc47,10 - 16,5 - 7,10 - 13,25 - 33,SyBvVgc47,1024,681,https://cdn2.thedogapi.com/images/SyBvVgc47.jpg,,,,13,15,10,16,10,13,5,7,25,33
140,218,Scottish Deerhound,Coursing deer,Hound,8 - 10 years,"Docile, Friendly, Dignified, Gentle",,SkNjqx9NQ,70 - 130,32 - 59,28 - 32,71 - 81,SkNjqx9NQ,700,480,https://cdn2.thedogapi.com/images/SkNjqx9NQ.jpg,,,,8,10,70,130,28,32,32,59,71,81
141,219,Scottish Terrier,Vermin hunting,Terrier,11 - 13 years,"Feisty, Alert, Independent, Playful, Quick, Self-assured",,Bklnce5NX,18 - 22,8 - 10,10,25,Bklnce5NX,1280,976,https://cdn2.thedogapi.com/images/Bklnce5NX.jpg,,,,11,13,18,22,10,,8,10,25,
142,221,Shetland Sheepdog,Sheep herding,Herding,12 - 14 years,"Affectionate, Lively, Responsive, Alert, Loyal, Reserved, Playful, Gentle, Intelligent, Active, Trainable, Strong",,rJa29l9E7,30,14,13 - 16,33 - 41,rJa29l9E7,824,640,https://cdn2.thedogapi.com/images/rJa29l9E7.jpg,,,,12,14,30,,13,16,14,,33,41
143,222,Shiba Inu,"Hunting in the mountains of Japan, Alert Watchdog",Non-Sporting,12 - 16 years,"Charming, Fearless, Keen, Alert, Confident, Faithful",,Zn3IjPX3f,17 - 23,8 - 10,13.5 - 16.5,34 - 42,Zn3IjPX3f,1080,1080,https://cdn2.thedogapi.com/images/Zn3IjPX3f.jpg,,,,12,16,17,23,13.5,16.5,8,10,34,42
144,223,Shih Tzu,Lapdog,Toy,10 - 18 years,"Clever, Spunky, Outgoing, Friendly, Affectionate, Lively, Alert, Loyal, Independent, Playful, Gentle, Intelligent, Happy, Active, Courageous",,BkrJjgcV7,9 - 16,4 - 7,8 - 11,20 - 28,BkrJjgcV7,800,600,https://cdn2.thedogapi.com/images/BkrJjgcV7.jpg,,,,10,18,9,16,8,11,4,7,20,28
145,225,Shiloh Shepherd,"Swimming, Carrying backpacks, Pulling carts or sleds",,9 - 14 years,"Outgoing, Loyal, Companionable, Gentle, Loving, Trainable",,SJJxjecEX,120 - 140,54 - 64,26 - 30,66 - 76,SJJxjecEX,1005,803,https://cdn2.thedogapi.com/images/SJJxjecEX.jpg,,,,9,14,120,140,26,30,54,64,66,76
146,226,Siberian Husky,Sled pulling,Working,12 years,"Outgoing, Friendly, Alert, Gentle, Intelligent",,S17ZilqNm,35 - 60,16 - 27,20 - 23.5,51 - 60,S17ZilqNm,1920,1280,https://cdn2.thedogapi.com/images/S17ZilqNm.jpg,,,,12,,35,60,20,23.5,16,27,51,60
147,228,Silky Terrier,"Small vermin hunting, companionship",Toy,12 - 15 years,"Friendly, Responsive, Inquisitive, Alert, Quick, Joyful",,ByzGsl5Nm,8 - 10,4 - 5,9 - 10,23 - 25,ByzGsl5Nm,1599,1142,https://cdn2.thedogapi.com/images/ByzGsl5Nm.jpg,,,,12,15,8,10,9,10,4,5,23,25
148,232,Smooth Fox Terrier,Fox bolting,Terrier,12 - 14 years,"Fearless, Affectionate, Alert, Playful, Intelligent, Active",,Syszjx9Em, - 18, - 8,15.5,39,Syszjx9Em,1600,1031,https://cdn2.thedogapi.com/images/Syszjx9Em.jpg,,,,12,14,,18,15.5,,,8,39,
149,233,Soft Coated Wheaten Terrier,"Vermin hunting, guarding, all-around farm helper",Terrier,12 - 15 years,"Affectionate, Spirited, Energetic, Playful, Intelligent, Faithful",,HJHmix5NQ,30 - 40,14 - 18,16 - 18,41 - 46,HJHmix5NQ,1200,800,https://cdn2.thedogapi.com/images/HJHmix5NQ.jpg,,,,12,15,30,40,16,18,14,18,41,46
150,235,Spanish Water Dog,Herding flocks of sheep and goats from one pasture to another,Sporting,12 - 15 years,"Trainable, Diligent, Affectionate, Loyal, Athletic, Intelligent",,HJf4jl9VX,30 - 50,14 - 23,16 - 20,41 - 51,HJf4jl9VX,1200,922,https://cdn2.thedogapi.com/images/HJf4jl9VX.jpg,,,,12,15,30,50,16,20,14,23,41,51
151,236,Spinone Italiano,,Sporting,10 - 12 years,"Docile, Friendly, Affectionate, Loyal, Patient, Gentle",,rk5Eoe5Nm,61 - 85,28 - 39,22.5 - 27.5,57 - 70,rk5Eoe5Nm,1030,772,https://cdn2.thedogapi.com/images/rk5Eoe5Nm.jpg,,,,10,12,61,85,22.5,27.5,28,39,57,70
152,238,Staffordshire Bull Terrier,,Terrier,12 - 14 years,"Reliable, Fearless, Bold, Affectionate, Loyal, Intelligent, Courageous",,H1zSie9V7,24 - 38,11 - 17,14 - 16,36 - 41,H1zSie9V7,1280,852,https://cdn2.thedogapi.com/images/H1zSie9V7.jpg,,,,12,14,24,38,14,16,11,17,36,41
153,239,Standard Schnauzer,"Ratting, guarding",Working,13 - 15 years,"Trainable, Good-natured, Devoted, Lively, Playful, Intelligent",,tmzeu6ID_,30 - 50,14 - 23,17.5 - 19.5,44 - 50,tmzeu6ID_,650,585,https://cdn2.thedogapi.com/images/tmzeu6ID_.jpg,,,,13,15,30,50,17.5,19.5,14,23,44,50
154,242,Swedish Vallhund,,Herding,12 - 14 years,"Fearless, Friendly, Energetic, Alert, Intelligent, Watchful",,HJ-Dix94Q,20 - 30,9 - 14,11.5 - 13.5,29 - 34,HJ-Dix94Q,1280,851,https://cdn2.thedogapi.com/images/HJ-Dix94Q.jpg,,,,12,14,20,30,11.5,13.5,9,14,29,34
155,243,Thai Ridgeback,,Hound,10 - 12 years,"Protective, Loyal, Independent, Intelligent, Loving, Familial",,zv89hR-O8,35 - 55,16 - 25,20 - 24,51 - 61,zv89hR-O8,1080,720,https://cdn2.thedogapi.com/images/zv89hR-O8.jpg,,,,10,12,35,55,20,24,16,25,51,61
156,244,Tibetan Mastiff,,Working,10 - 14 years,"Strong Willed, Tenacious, Aloof, Stubborn, Intelligent, Protective",,SkM9sec47,85 - 140,39 - 64,24 - 26,61 - 66,SkM9sec47,1600,1375,https://cdn2.thedogapi.com/images/SkM9sec47.jpg,,,,10,14,85,140,24,26,39,64,61,66
157,245,Tibetan Spaniel,,Non-Sporting,12 - 15 years,"Willful, Aloof, Assertive, Independent, Playful, Intelligent, Happy",,Hyjcol947,9 - 15,4 - 7,10,25,Hyjcol947,1023,825,https://cdn2.thedogapi.com/images/Hyjcol947.jpg,,,,12,15,9,15,10,,4,7,25,
158,246,Tibetan Terrier,"Good luck charms, mascots, watchdogs, herding dogs, and companions",Non-Sporting,12 - 15 years,"Affectionate, Energetic, Amiable, Reserved, Gentle, Sensitive",,6f5n_42mB,20 - 24,9 - 11,14 - 17,36 - 43,6f5n_42mB,981,1226,https://cdn2.thedogapi.com/images/6f5n_42mB.jpg,,,,12,15,20,24,14,17,9,11,36,43
159,248,Toy Fox Terrier,,Toy,12 - 15 years,"Friendly, Spirited, Alert, Loyal, Playful, Intelligent",,B17ase9V7,4 - 9,2 - 4,8 - 11,20 - 28,B17ase9V7,1200,1024,https://cdn2.thedogapi.com/images/B17ase9V7.jpg,,,,12,15,4,9,8,11,2,4,20,28
160,250,Treeing Walker Coonhound,,Hound,10 - 13 years,"Clever, Affectionate, Confident, Intelligent, Loving, Trainable",,SkRpsgc47,45 - 80,20 - 36,20 - 27,51 - 69,SkRpsgc47,1920,1080,https://cdn2.thedogapi.com/images/SkRpsgc47.jpg,,,,10,13,45,80,20,27,20,36,51,69
161,251,Vizsla,Pointing and trailing,Sporting,10 - 14 years,"Affectionate, Energetic, Loyal, Gentle, Quiet",,r1o0jx9Em,50 - 65,23 - 29,21 - 24,53 - 61,r1o0jx9Em,2269,1276,https://cdn2.thedogapi.com/images/r1o0jx9Em.jpg,,,,10,14,50,65,21,24,23,29,53,61
162,253,Weimaraner,Large game trailing and versatile gundog,Sporting,12 - 15 years,"Steady, Aloof, Stubborn, Energetic, Alert, Intelligent, Powerful, Fast",,SyU12l9V7,55 - 90,25 - 41,23 - 27,58 - 69,SyU12l9V7,901,954,https://cdn2.thedogapi.com/images/SyU12l9V7.jpg,,,,12,15,55,90,23,27,25,41,58,69
163,254,Welsh Springer Spaniel,Flushing and retrieving birds,Sporting,12 - 15 years,"Stubborn, Friendly, Affectionate, Loyal, Playful, Active",,BJ1gnx5Vm,35 - 55,16 - 25,17 - 19,43 - 48,BJ1gnx5Vm,1331,944,https://cdn2.thedogapi.com/images/BJ1gnx5Vm.jpg,,,,12,15,35,55,17,19,16,25,43,48
164,256,West Highland White Terrier,"Fox, badger, vermin hunting",Terrier,15 - 20 years,"Hardy, Friendly, Alert, Independent, Gay, Active, Courageous",,Bkdx2g5Em,15 - 22,7 - 10,10 - 11,25 - 28,Bkdx2g5Em,1065,1032,https://cdn2.thedogapi.com/images/Bkdx2g5Em.jpg,,,,15,20,15,22,10,11,7,10,25,28
165,257,Whippet,"Coursing, racing",Hound,12 - 15 years,"Friendly, Affectionate, Lively, Gentle, Intelligent, Quiet",,Hyv-ne94m,25 - 35,11 - 16,18 - 22,46 - 56,Hyv-ne94m,1600,1071,https://cdn2.thedogapi.com/images/Hyv-ne94m.jpg,,,,12,15,25,35,18,22,11,16,46,56
166,258,White Shepherd,,,12 - 14 years,"Self-confidence, Aloof, Fearless, Alert, Companionable, Eager",,r14M3e9E7,60 - 85,27 - 39,22 - 25,56 - 64,r14M3e9E7,1200,800,https://cdn2.thedogapi.com/images/r14M3e9E7.jpg,,,,12,14,60,85,22,25,27,39,56,64
167,259,Wire Fox Terrier,"Vermin hunting, fox bolting",,13 - 14 years,"Fearless, Friendly, Bold, Keen, Alert, Quick",,SJ6f2g9EQ,15 - 19,7 - 9,13 - 16,33 - 41,SJ6f2g9EQ,1000,795,https://cdn2.thedogapi.com/images/SJ6f2g9EQ.jpg,,, England,13,14,15,19,13,16,7,9,33,41
168,260,Wirehaired Pointing Griffon,"Gundog, ""swamp-tromping"", Flushing, pointing, and retrieving water fowl & game birds",Sporting,12 - 14 years,"Loyal, Gentle, Vigilant, Trainable, Proud",,Bkam2l9Vm,45 - 70,20 - 32,20 - 24,51 - 61,Bkam2l9Vm,2328,1604,https://cdn2.thedogapi.com/images/Bkam2l9Vm.jpg,,,,12,14,45,70,20,24,20,32,51,61
169,261,Wirehaired Vizsla,,Sporting,12 - 14 years,,,r1I4hl5Em,45 - 65,20 - 29,21.5 - 25,55 - 64,r1I4hl5Em,1024,770,https://cdn2.thedogapi.com/images/r1I4hl5Em.jpg,,,,12,14,45,65,21.5,25,20,29,55,64
170,262,Xoloitzcuintli,,Non-Sporting,12 - 14 years,"Cheerful, Alert, Companionable, Intelligent, Protective, Calm",,HkNS3gqEm,9 - 31,4 - 14,10 - 23,25 - 58,HkNS3gqEm,1500,1350,https://cdn2.thedogapi.com/images/HkNS3gqEm.jpg,,,,12,14,9,31,10,23,4,14,25,58
171,264,Yorkshire Terrier,Small vermin hunting,Toy,12 - 16 years,"Bold, Independent, Confident, Intelligent, Courageous",,B12BnxcVQ,4 - 7,2 - 3,8 - 9,20 - 23,B12BnxcVQ,1024,683,https://cdn2.thedogapi.com/images/B12BnxcVQ.jpg,,,,12,16,4,7,8,9,2,3,20,23
